Country Name,CountryID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Spain,170,21530.47468,22929.8622,24363.01492,25054.26078,26189.45552,27702.46431,30819.2424,32591.40996,33463.6541,32385.20632,31954.24275,32068.27093,31988.25387,32603.90577,33709.64924,34818.12051,36305.22213,38090.9406
Estonia,66,9419.756951,10311.35404,11590.60317,13063.80803,14424.5942,16516.14387,19260.49339,21960.5075,22664.03933,20498.70606,21602.74074,24543.06747,26022.46885,27495.73442,28538.42864,28688.96877,29743.33743,31637.67832
Ethiopia,67,490.0363908,527.3172499,528.06452,512.0775458,580.921474,652.1060614,724.9016942,807.4365645,888.1424517,948.2249523,1052.104262,1162.783317,1253.243318,1371.981671,1500.654548,1632.551806,1734.464075,1899.208126
European Union,,22572.63018,23689.64325,24733.13694,25324.58931,26558.90157,27505.43046,29757.45902,31530.69545,32957.6721,32161.55385,33259.68977,34720.33564,35279.49053,36492.3788,37502.72999,38457.37629,39624.74031,41326.81416
Fragile and conflict affected situations,,2421.023482,2491.132734,2456.353541,2309.884219,2670.873551,2875.164047,3100.160323,3273.9202,3443.610875,3549.44279,3729.316075,3547.557001,3964.25219,4103.65523,4126.85802,4144.105176,4269.809834,4394.369391
Finland,69,26748.63105,27793.71833,28567.1712,28982.92386,31129.29964,31993.40726,34367.47428,37696.64762,39969.3876,37823.22919,38775.17486,40683.52758,40620.17607,41293.51577,41470.20236,42071.19127,43378.14603,45191.59402
Fiji,68,5289.881521,5498.341665,5750.991919,5917.528964,6388.993904,6612.747688,6895.237516,6956.304866,7093.550249,6976.983703,7203.365693,7488.829381,7676.778694,8113.236145,8661.655883,9027.542438,9109.951924,9554.602534
France,70,26090.10166,27524.42994,28523.88573,28139.55706,29044.39611,30498.57929,32439.06176,34082.45916,35095.26023,34678.94158,35935.0262,37440.64149,37679.13326,39523.87012,40141.59032,40564.46071,41357.98693,42778.92888
Faroe Islands,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,2472.299737,2579.23139,2639.018015,2748.333305,2741.629518,2898.409605,2998.005601,3034.795573,3043.078983,3117.741846,3230.949855,3412.906554,3405.472279,3320.56348,3297.326408,3483.455937,3508.715192,3622.331967
Gabon,72,14095.07303,14360.89758,14183.77902,14415.99098,14520.30388,14961.75104,14555.82283,15369.25308,14686.61432,14347.32297,15045.15818,15893.54772,16457.39225,17078.49864,17569.95441,17928.89201,18071.25689,18183.12368
United Kingdom,,26245.85621,27462.61251,28806.88884,30043.99723,31732.9523,32436.87959,34500.70813,35289.39801,36257.51245,34589.5666,35875.45628,36607.98109,37705.59422,39308.13457,40707.20099,41579.86341,42656.2166,43876.59936
Georgia,74,2587.027809,2793.302651,3011.616877,3455.755048,3808.345012,4364.786505,4985.276523,5825.773265,6155.927442,6054.394897,6597.568549,7315.090898,8026.507187,8541.81226,9216.716264,9610.543382,10004.52841,10698.68087
Ghana,76,1790.597787,1857.307893,1920.939582,2008.478808,2123.225052,2260.999579,2415.537414,2520.728064,2733.285353,2814.3581,2997.496491,3404.459566,3699.357199,3940.097375,4075.34121,4181.412842,4295.21767,4641.323379
Gibraltar,,,,,,,,,,,,,,,,,,,
Guinea,81,1126.034378,1172.19164,1228.88743,1245.527815,1284.830659,1339.178009,1368.105596,1468.414251,1524.956513,1485.774748,1541.714301,1625.560273,1715.176822,1771.392998,1827.442103,1872.367758,2043.06019,2284.778752
"Gambia, The",,1228.245776,1288.664167,1226.483477,1294.582639,1378.773245,1365.193894,1378.274164,1420.511428,1483.758347,1541.959303,1610.981598,1524.768774,1589.072363,1640.010903,1633.063021,1669.74581,1676.878795,1714.5931
Guinea-Bissau,82,1080.622902,1107.804247,1091.333456,1095.971555,1132.229424,1191.608219,1228.267586,1272.123255,1307.097078,1328.551484,1372.035864,1475.38909,1438.981556,1470.899984,1472.978369,1540.315132,1616.4238,1700.219832
Equatorial Guinea,64,8554.627584,13726.63404,15984.2427,17823.75329,24219.66767,27933.46545,29643.92635,33513.74211,38441.34833,37496.56822,33041.18835,34363.15291,36288.40627,33877.54224,33228.16118,29341.48771,26142.08953,24816.86684
