HDI Rank (2015),Country,Country ID,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
119, South Africa,167,0.695,0.689,0.691,0.709,0.721,0.723,0.724,0.725,0.725,0.724
181, South Sudan,169,,,,,0.512,0.469,0.457,0.463,0.456,0.443
27, Spain,170,0.828,0.837,0.864,0.875,0.874,0.871,0.869,0.867,0.869,0.875
73, Sri Lanka,171,0.543,0.574,0.605,0.629,0.671,0.682,0.693,0.696,0.702,0.707
165, Sudan,172,0.419,0.436,0.459,0.482,0.513,0.53,0.544,0.546,0.548,0.551
97, Suriname,173,0.698,0.684,0.686,0.724,0.749,0.749,0.756,0.761,0.765,0.767
148, Swaziland,174,0.634,0.639,0.642,0.659,0.645,0.647,0.649,0.651,0.652,0.653
14, Sweden,175,0.862,0.861,0.893,0.912,0.92,0.923,0.922,0.922,0.922,0.927
2, Switzerland,176,0.931,0.926,0.946,0.954,0.96,0.953,0.955,0.956,0.955,0.957
149, Syrian Arab Republic,177,0.534,0.579,0.581,0.603,0.623,0.615,0.581,0.543,0.509,0.483
129, Tajikistan,178,0.543,0.377,0.367,0.425,0.46,0.468,0.475,0.483,0.489,0.492
151, Tanzania (United Republic of),179,0.4,0.392,0.406,0.436,0.459,0.466,0.468,0.475,0.48,0.484
87, Thailand,7,0.632,0.683,0.68,0.709,0.735,0.739,0.746,0.747,0.748,0.752
82, The former Yugoslav Republic of Macedonia,111,0.688,0.656,0.672,0.685,0.713,0.716,0.714,0.718,0.724,0.728
133, Timor-Leste,180,0.471,0.517,0.472,0.475,0.62,0.653,0.655,0.628,0.6,0.602
166, Togo,181,0.386,0.366,0.38,0.369,0.357,0.358,0.364,0.37,0.379,0.383
101, Tonga,#N/A,0.545,0.572,0.583,0.596,0.594,0.596,0.597,0.592,0.595,0.599
65, Trinidad and Tobago,182,0.708,0.715,0.772,0.831,0.853,0.84,0.839,0.85,0.85,0.851
97, Tunisia,183,0.605,0.618,0.65,0.67,0.697,0.691,0.696,0.698,0.7,0.699
71, Turkey,184,0.703,0.714,0.733,0.757,0.771,0.781,0.782,0.785,0.787,0.79
111, Turkmenistan,185,0.653,0.564,0.586,0.615,0.681,0.7,0.714,0.726,0.739,0.747
0, Tuvalu,#N/A,0.536,0.555,0.575,0.572,0.583,0.595,0.595,0.596,0.599,0.602
163, Uganda,187,0.306,0.334,0.354,0.377,0.412,0.421,0.422,0.423,0.423,0.425
84, Ukraine,188,0.707,0.591,0.58,0.646,0.657,0.664,0.665,0.666,0.665,0.649
42, United Arab Emirates,189,1,1,1,1,0.96,0.96,0.967,0.972,0.978,0.981
16, United Kingdom,6,0.843,0.854,0.877,0.896,0.892,0.893,0.892,0.893,0.895,0.897
10, United States,5,0.895,0.904,0.927,0.939,0.939,0.941,0.943,0.944,0.946,0.948
54, Uruguay,190,0.688,0.715,0.734,0.731,0.771,0.778,0.784,0.79,0.794,0.794
105, Uzbekistan,191,0.514,0.467,0.482,0.515,0.568,0.578,0.586,0.597,0.606,0.612
134, Vanuatu,#N/A,0.492,0.478,0.492,0.483,0.505,0.505,0.499,0.507,0.508,0.504
71, Venezuela (Bolivarian Republic of),192,0.75,0.758,0.75,0.755,0.77,0.772,0.778,0.777,0.769,0.758
115, Viet Nam,193,0.4,0.454,0.493,0.534,0.569,0.575,0.582,0.588,0.594,0.601
168, Yemen,196,0.521,0.529,0.544,0.554,0.56,0.531,0.53,0.533,0.528,0.474
139, Zambia,197,0.462,0.442,0.451,0.472,0.515,0.522,0.533,0.534,0.535,0.535
154, Zimbabwe,198,0.482,0.473,0.478,0.416,0.388,0.398,0.41,0.414,0.415,0.418
