"Overall Rank","Country","Score","Change Over Prior Year","GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Trust"
"100","Tajikistan","4.996","0.474","0.4883491993","0.7560246587","0.5311854482","0.434081018","0.2599796951","0.1350889355"
"101","Mongolia","4.907","0.298","0.9885272384","1.0898308754","0.554693222","0.3597187698","0.3453855515","0.0328501724"
"102","Laos","4.876","-0.344","0.6804234385","0.549695015","0.3829056323","0.5216754079","0.4307881296","0.2242290527"
"103","Nigeria","4.875","0.075","0.7521632314","0.6449794173","0.0510790199","0.2785388231","0.2321866155","0.0305018276"
"104","Honduras","4.871","-0.375","0.6942926049","0.7559584379","0.5838286281","0.267550528","0.2044030428","0.0690619946"
"105","Iran","4.813","-0.507","1.1175779104","0.3885716796","0.6423233747","0.2254371494","0.3853824735","0.0556964278"
"106","Zambia","4.795","0.381","0.6120217443","0.637601912","0.235732168","0.4266164601","0.1786570698","0.1147906184"
"107","Nepal","4.793","0.135","0.4462570548","0.6969850063","0.5007292032","0.3701159954","0.3815962374","0.0700814053"
"108","Palestinian Territories[Note 5]","4.754","0.321","0.670235455","0.7162941694","0.5684379935","0.1774387658","0.1115362793","0.1061338559"
"109","Albania","4.655","0.021","0.9553028941","0.5016273856","0.7300697565","0.3186602592","0.1683950126","0.0530097373"
"110","Bangladesh","4.643","0.170","0.5417668819","0.2474909127","0.5298885107","0.397775203","0.191324383","0.1258336604"
"111","Sierra Leone","4.635","1.028","0.364854157","0.6280034184","0","0.3068512082","0.2389721274","0.0819622651"
"112","Iraq","4.575","0.000","1.0747433901","0.5920470357","0.5107596517","0.2485591471","0.1958882064","0.1363555491"
"113","Namibia","4.574","-0.312","0.9328721166","0.703617692","0.3474542797","0.4861379266","0.0779496282","0.1039759517"
"114","Cameroon","4.513","0.413","0.5249726772","0.6254190803","0.1269759238","0.4273615181","0.2267952859","0.0612634867"
"115","Ethiopia","4.508","0.000","0.2928332686","0.37931633","0.3457763195","0.3670291305","0.2952185571","0.1716993749"
"116","South Africa","4.459","-0.686","1.0241649151","0.9605335593","0.1861099601","0.4248252511","0.1365633756","0.0841543823"
"117","Sri Lanka","4.415","0.037","0.9731776118","0.8478294611","0.6200683117","0.5081717968","0.4697829187","0.079638049"
"118","India","4.404","-0.750","0.7403585315","0.2924744487","0.4509114325","0.4028455615","0.2502847314","0.0872217789"
"119","Myanmar","4.395","0.000","0.3411233127","0.6998114586","0.3987995386","0.4269192219","0.8197111487","0.2024345249"
"120","Egypt","4.362","-0.996","0.9539512992","0.4981312156","0.5211619139","0.1884650439","0.1270608902","0.1039294451"
"121","Armenia","4.360","-0.226","0.8608591557","0.6247681975","0.6408339143","0.1403724104","0.0779285729","0.0361571684"
"122","Kenya","4.356","-0.044","0.5226711631","0.7623973489","0.3014716506","0.405755043","0.4132779241","0.0668590665"
"123","Ukraine","4.324","-0.701","0.8728690147","1.014131546","0.586279273","0.1285888702","0.2036271244","0.018293051"
"124","Ghana","4.276","-0.600","0.6310686469","0.493525058","0.2968133986","0.4097322226","0.2120326459","0.0326029062"
"125","Republic of the Congo","4.272","0.000","0.0566060133","0.8067646623","0.1880039275","0.1560170501","0.2545780838","0.0607489981"
"126","Georgia","4.252","0.561","0.8379245996","0.1924944371","0.6403460503","0.3246101141","0.0678588822","0.31879583"
"127","Democratic Republic of the Congo","4.236","0.000","0.7710928917","0.477987349","0.2821151912","0.3793767393","0.1207708791","0.0975292698"
"128","Senegal","4.219","-0.328","0.4431370199","0.7741596699","0.404569447","0.3105579317","0.1910338402","0.1168092117"
"129","Bulgaria","4.217","0.373","1.1130646467","0.9254174232","0.6780562401","0.2121911049","0.1279297024","0.0061538098"
"130","Mauritania","4.201","0.052","0.6139080524","0.8414196968","0.2863945961","0.126799494","0.2268636078","0.1795488149"
"131","Zimbabwe","4.193","0.639","0.3504098356","0.714784801","0.1595008969","0.2542897463","0.1850303113","0.0858165845"
"132","Malawi","4.156","-0.205","0.0870939568","0.1470022053","0.2936448753","0.4143017232","0.3096785843","0.0756367594"
"133","Sudan","4.139","0.000","0.6306907535","0.8192826509","0.2975911498","0","0.1807745397","0.1003870592"
"134","Gabon","4.121","0.000","1.1585088968","0.7236786485","0.3494042456","0.280975461","0.0624370538","0.0931418166"
"135","Mali","4.073","0.059","0.3129241765","0.8633272648","0.1634719521","0.2754392624","0.2106413245","0.1364662796"
"136","Haiti","4.028","0.274","0.3409727216","0.2956138253","0.2749408185","0.1207239479","0.4795780778","0.1447578669"
